000513.XSHE	2022-03-01	20.3457	2.8348	2.9693	-566.4409
000514.XSHE	2022-03-01	39.9488	1.0219	5.0323	7.8188
000516.XSHE	2022-03-01	-477.3761	3.4461	7.6033	167.3358
000517.XSHE	2022-03-01	4.8808	0.9742	0.4582	60.9076
000518.XSHE	2022-03-01	-203.0717	5.6638	9.0407	-13470.333999999999
000519.XSHE	2022-03-01	55.3629	3.3391	4.1231	24.7084
000520.XSHE	2022-03-01	71.8706	8.8854	4.9227	45.56
000521.XSHE	2022-03-01	35.9489	0.742	0.2008	3.8427
000523.XSHE	2022-03-01	-1.5621	-1.9829	98.3989	-19.160999999999998
000524.XSHE	2022-03-01	-32.7707	2.7694	3.6905	-18.9286
000525.XSHE	2022-03-01	-20.7464	1.0959	1.0821	4547.564
000526.XSHE	2022-03-01	38.0408	2.1927	0.8343	-34.8479
000528.XSHE	2022-03-01	8.8146	0.9031	0.4175	26.1985
000529.XSHE	2022-03-01	11.9691	1.7064	1.0404	6.3143
000530.XSHE	2022-03-01	-165.5418	1.2281	1.8967	94.8172
000531.XSHE	2022-03-01	26.8616	1.2308	1.7243	8.1549
000532.XSHE	2022-03-01	35.0729	3.832	7.4552	-13.0906
000533.XSHE	2022-03-01	42.3201	3.8934	1.8557	26.8791
000534.XSHE	2022-03-01	79.2768	6.789	11.2589	822.2633
000536.XSHE	2022-03-01	469.1853	1.1234	2.0101	12.4599
000537.XSHE	2022-03-01	-29.4913	2.9589	2.4664	44.016000000000005
000538.XSHE	2022-03-01	31.2706	3.0610000000000004	3.1239	11.7525
000539.XSHE	2022-03-01	-642.0594	1.0641	0.7816	69.5406
000540.XSHE	2022-03-01	-15.7564	0.9931	0.6737	-5.4667
000541.XSHE	2022-03-01	27.0286	1.3104	1.7054	17.01
000543.XSHE	2022-03-01	-32.9702	0.7566	0.5074	34.0248
000544.XSHE	2022-03-01	12.5437	1.0007	1.4645	-65.0232
000545.XSHE	2022-03-01	-99.2141	1.9991	1.5792	-54.7565
000546.XSHE	2022-03-01	32.6091	2.5116	1.3686	-160.6446
000547.XSHE	2022-03-01	28.5651	2.7145	5.038	343.4831
000548.XSHE	2022-03-01	40.7502	1.1892	5.3337	13.3443
000550.XSHE	2022-03-01	23.6188	1.5851	0.385	-10.0267
000551.XSHE	2022-03-01	31.7158	1.9028	1.0590000000000002	-40.8611
000552.XSHE	2022-03-01	17.9638	1.1555	2.1107	2.6143
000553.XSHE	2022-03-01	158.296	0.9262	0.6522	-25.9986
000554.XSHE	2022-03-01	291.743	3.2849	1.092	-27.9432
000555.XSHE	2022-03-01	32.6245	2.5976	1.3464	49.1927
000557.XSHE	2022-03-01	33.1159	1.4124	6.8527	37.6137
000558.XSHE	2022-03-01	-36.201	3.6483	27.9896	-20.6961
000559.XSHE	2022-03-01	29.4097	2.2964	1.3849	13.607999999999999
000560.XSHE	2022-03-01	13.2293	0.6639	0.6124	26.3122
000561.XSHE	2022-03-01	47.8174	3.0003	3.1239	-16.3657
000563.XSHE	2022-03-01	17.3615	1.0537	6.6647	-16.9553
000564.XSHE	2022-03-01	-4.9331	0.9184	13.0151	-5.7553
000565.XSHE	2022-03-01	31.6311	2.1985	5.7593	-44.5514
