,ticker,tradeDate,PE,PB,PS,PCF
0,000690,2017-10-09,32.2407,2.0853,5.4441,24.6921
0,000691,2017-10-09,-2453.546,29.9446,46.7692,104.9396
0,000692,2017-10-09,226.6584,2.6431,1.9363,-170.7339
0,000693,2017-10-09,-15.9538,8.7426,5.3534,527.4908
0,000695,2017-10-09,-343.9393,8.3316,3.8252,139.2328
0,000697,2017-10-09,-87.5967,11.763,159.1848,-41.3965
0,000698,2017-10-09,17.3558,1.2809,0.486,26.1906
0,000700,2017-10-09,32.8926,1.6756,1.4835,24.174
0,000701,2017-10-09,52.7667,1.6209,0.1132,4.2414
0,000702,2017-10-09,648.5657,5.1497,1.8931,-61.5883
0,000703,2017-10-09,19.8621,2.1901,0.5599,18.1335
0,000705,2017-10-09,56.1547,2.5923,1.3894,21.5792
0,000707,2017-10-09,-5.4437,3.6304,0.9128,45.774
0,000708,2017-10-09,18.5978,1.6365,0.7875,52.8976
0,000709,2017-10-09,19.5339,1.0346,0.514,-35.1472
0,000710,2017-10-09,-2301.663,213.6328,92.8126,-424.2141
0,000711,2017-10-09,73.573,3.0886,10.3221,-13.5341
0,000712,2017-10-09,64.3313,5.2688,10.3983,-15.0002
0,000713,2017-10-09,1364.67,1.8546,1.8532,-9.9654
0,000715,2017-10-09,30.5992,2.4518,1.2609,30.54
0,000716,2017-10-09,179.1297,2.2896,1.6078,43.8982
0,000717,2017-10-09,20.494,18.115,1.0285,36.9558
0,000718,2017-10-09,15.5716,2.355,2.0703,7.5979
0,000719,2017-10-09,15.883,1.5883,1.2931,16.0195
0,000720,2017-10-09,-31.7772,6.3127,1.9134,37.2047
0,000721,2017-10-09,-398.5285,5.7019,7.6429,170.2696
0,000722,2017-10-09,49.9759,2.0209,21.0044,66.392
0,000723,2017-10-09,33.7254,5.0853,3.3954,35.9571
0,000725,2017-10-09,24.8721,2.0374,1.9148,9.2717
0,000726,2017-10-09,12.9551,1.6137,1.8014,10.146
0,000727,2017-10-09,-76.2554,1.2454,3.1952,13.0639
0,000728,2017-10-09,29.5544,2.0219,11.7453,-9.8331
0,000729,2017-10-09,52.2405,1.3836,1.5818,12.5044
0,000731,2017-10-09,-41.8866,1.9714,2.1072,15.1574
0,000732,2017-10-09,12.0131,1.5024,0.9659,-2.9062
0,000733,2017-10-09,38.3701,1.9354,0.9764,-18.7072
0,000735,2017-10-09,45.8201,2.4436,6.0218,25.2175
0,000736,2017-10-09,-82.1217,3.4978,2.3274,-2.1354
0,000737,2017-10-09,-57.386,379.645,1.8832,-37.6272
0,000738,2017-10-09,95.8216,4.5276,9.117,48.9963
0,000739,2017-10-09,30.4205,3.1608,1.5955,27.5939
0,000750,2017-10-09,30.1165,1.8236,6.9791,-13.0098
0,000751,2017-10-09,56.0555,3.9649,1.5104,-29.3935
0,000752,2017-10-09,312.3933,4.8587,10.4821,37.1584
0,000753,2017-10-09,21.3963,2.1581,1.4989,12.0134
0,000755,2017-10-09,-4.8123,9.9887,0.9915,-10.293
0,000756,2017-10-09,39.4452,3.4018,1.6348,19.7919
0,000757,2017-10-09,106.2072,5.5986,5.9205,76.3682
0,000758,2017-10-09,42.8392,2.8475,0.6976,-9.9769
0,000759,2017-10-09,31.1075,2.088,0.4241,9.0708
0,000760,2017-10-09,31.4114,3.6117,22.6717,-240.3852
0,000761,2017-10-09,17.1557,1.4533,0.5117,6.1729
0,000762,2017-10-09,-485.0782,5.0848,18.1716,149.5532
0,000766,2017-10-09,54.8649,3.181,12.4241,54.9089
0,000767,2017-10-09,-28.7637,1.308,1.2196,8.5901
0,000768,2017-10-09,124.7264,3.4504,1.9291,49.4683
0,000776,2017-10-09,17.5171,1.8002,7.0477,-7.1116
0,000777,2017-10-09,86.7742,5.4021,7.8268,1093.6183
0,000778,2017-10-09,33.7234,1.2948,0.5031,9.3073
0,000779,2017-10-09,36.0516,11.5787,10.9039,-15.4167
