,code,day,pe_ratio,pb_ratio,ps_ratio,pcf_ratio
193,000615.XSHE,2017-09-29,67.5143,6.4904,2.4953,89.4771
194,000616.XSHE,2017-09-29,-16.2332,1.6335,59.8253,4.7662
195,000617.XSHE,2017-09-29,24.8869,2.2017,5.3079,-1.9712
196,000619.XSHE,2017-09-29,154.9666,1.3793,1.0571,-18.948
197,000620.XSHE,2017-09-29,22.3925,2.2575,1.6697,13.2779
198,000622.XSHE,2017-09-29,49.6014,13.0446,56.427,16.5333
199,000623.XSHE,2017-09-29,15.0071,1.3469,9.5083,50.5822
200,000625.XSHE,2017-09-29,7.2283,1.5089,0.892,11.8993
201,000626.XSHE,2017-09-29,30.6062,3.2167,0.1058,-54.236999999999995
202,000627.XSHE,2017-09-29,23.9434,2.7992,0.7628,-7.1059
203,000628.XSHE,2017-09-29,76.4392,4.2331,4.971,21.5403
204,000629.XSHE,2017-09-29,-5.5685,6.855,2.9431,-17.377
205,000630.XSHE,2017-09-29,85.8271,1.874,0.3822,18.9317
206,000631.XSHE,2017-09-29,22.4547,1.7259,2.0854,-90.3911
207,000632.XSHE,2017-09-29,179.2329,2.5941,0.6742,6.164
208,000633.XSHE,2017-09-29,80.2979,18.7428,52.6518,5.1342
209,000635.XSHE,2017-09-29,36.0052,1.7947,2.8939999999999997,17.4823
210,000636.XSHE,2017-09-29,49.9054,1.8913,2.8037,-23.4782
211,000637.XSHE,2017-09-29,32.6394,4.1526,0.9053,-101.1091
212,000638.XSHE,2017-09-29,285.4878,15.2338,22.8299,34.8881
213,000639.XSHE,2017-09-29,53.4153,4.7857,1.9001,-23.9654
214,000650.XSHE,2017-09-29,20.3176,2.5969,2.0063,18.4741
215,000651.XSHE,2017-09-29,12.3435,5.4767,1.7532,-17.612000000000002
216,000652.XSHE,2017-09-29,27.5433,2.1534,0.4431,50.585
217,000655.XSHE,2017-09-29,-13.0987,1.8966,5.7723,61.4141
218,000656.XSHE,2017-09-29,22.3349,1.6192,0.8962,3.6436
219,000657.XSHE,2017-09-29,135.5771,2.9931,1.6118,193.4129
220,000659.XSHE,2017-09-29,-9.7348,9.9704,3.0854,-488.6425
221,000661.XSHE,2017-09-29,45.6043,6.2429,7.8431,-17.1876
